danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0.279,0.742,4,-6.46,0,0.0898,0.000185,0.0,0.593,0.328,189.868
0.742,0.713,1,-5.522,0,0.0303,0.0205,0.0,0.059,0.879,120.032
0.656,0.674,7,-5.473,1,0.0269,0.00242,0.0,0.255,0.369,120.001
0.675,0.783,1,-6.284,1,0.0365,0.134,0.0,0.122,0.4,120.018
0.716,0.821,5,-3.435,0,0.0314,0.0558,0.0,0.0844,0.618,92.997
0.892,0.714,4,-6.055,0,0.141,0.201,0.000234,0.0521,0.817,100.972
0.792,0.819,10,-4.933,0,0.0367,0.00564,0.000163,0.175,0.515,108.056
0.438,0.856,0,-4.158,1,0.0584,0.0268,6.27e-06,0.375,0.49,127.991
0.375,0.893,2,-4.097,1,0.0406,0.000509,0.0,0.187,0.434,174.323
0.454,0.913,9,-4.008,1,0.107,0.408,0.000271,0.248,0.521,137.688
0.651,0.648,9,-11.409,1,0.0501,0.262,0.0042,0.0655,0.49,156.372
0.598,0.851,5,-4.245,0,0.12,0.0355,2.81e-05,0.365,0.612,202.046
0.799,0.586,11,-6.735,1,0.0377,0.162,2.03e-06,0.193,0.549,120.97
0.397,0.625,7,-5.829,1,0.0347,0.437,5.47e-06,0.263,0.676,104.54
0.328,0.249,2,-11.777,1,0.0272,0.754,5.77e-06,0.134,0.162,81.257
0.335,0.416,0,-11.051,1,0.0348,0.345,0.136,0.116,0.223,174.464
0.676,0.596,4,-9.107,1,0.0272,0.0699,1.96e-05,0.351,0.97,100.687
0.474,0.939,11,-8.884,0,0.199,0.00472,0.674,0.19,0.499,166.829
0.53,0.72,2,-8.793,1,0.0338,0.00376,3.38e-05,0.314,0.69,80.652
0.419,0.152,0,-12.126,1,0.0277,0.326,0.0034,0.113,0.239,80.608
0.543,0.458,0,-8.976,1,0.0274,0.226,0.00663,0.298,0.704,84.319
0.647,0.487,11,-10.119,0,0.0689,0.00101,0.285,0.138,0.222,123.444
0.522,0.453,2,-7.859,1,0.0295,0.831,1.21e-06,0.101,0.306,103.879
0.579,0.872,0,-6.126,1,0.159,0.159,0.0,0.0935,0.761,76.214
0.572,0.576,7,-7.042,0,0.0336,0.00734,0.0,0.287,0.549,181.009
0.818,0.913,4,-3.06,0,0.0426,0.093,3.69e-05,0.161,0.536,119.986
0.732,0.396,4,-9.348,0,0.0286,0.0841,3.58e-05,0.105,0.548,90.024
0.664,0.705,1,-4.972,0,0.0382,0.0654,0.0,0.115,0.477,122.017
0.599,0.854,9,-5.429,1,0.0436,0.0746,0.0,0.278,0.311,119.986
0.49,0.885,3,-4.121,1,0.0396,0.00218,0.0,0.0741,0.64,166.996
0.503,0.858,8,-6.296,1,0.0657,0.00757,0.00234,0.0803,0.419,133.615
0.592,0.788,6,-4.924,0,0.201,0.0599,2.54e-06,0.125,0.755,89.949
0.543,0.715,2,-8.89,1,0.0356,0.0192,0.0,0.256,0.468,124.011
0.686,0.92,2,-6.231,1,0.0566,0.301,0.27,0.0807,0.225,135.027
0.577,0.828,6,-8.691,0,0.0298,0.00213,0.0114,0.0581,0.604,123.257
0.543,0.836,4,-9.11,0,0.0353,0.000647,0.431,0.153,0.56,105.173
0.412,0.902,9,-11.6,1,0.405,0.0484,0.131,0.405,0.422,89.74
0.338,0.34,9,-12.049,0,0.0339,0.58,0.0032,0.116,0.197,82.433
0.688,0.533,6,-8.363,0,0.0865,0.0355,3.48e-06,0.172,0.567,164.069
0.854,0.766,9,-4.697,0,0.141,0.0242,0.0,0.0793,0.784,118.004
0.608,0.86,5,-5.324,0,0.0554,0.0991,0.0,0.262,0.437,127.075
0.657,0.827,5,-4.036,1,0.0734,0.000704,0.00534,0.065,0.69,145.889
0.693,0.822,4,-5.441,0,0.0439,0.00616,1.79e-06,0.315,0.763,126.035
0.706,0.89,1,-4.444,0,0.0688,0.0588,0.00286,0.306,0.684,128.011
0.702,0.749,9,-5.624,0,0.0438,0.0493,0.0,0.0812,0.208,128.01
0.747,0.937,0,-5.746,1,0.0453,0.0208,0.0,0.29,0.739,103.976
0.72,0.672,7,-6.852,1,0.0551,0.009,0.0,0.232,0.705,124.986
0.398,0.952,4,-6.042,1,0.061,0.000373,7.75e-05,0.1,0.584,122.093
0.529,0.127,11,-16.066,1,0.0274,0.611,0.000109,0.237,0.578,63.05
0.596,0.605,7,-12.145,1,0.0255,0.181,0.000331,0.0863,0.886,97.798
0.448,0.784,9,-3.686,1,0.0627,0.106,0.000108,0.668,0.236,136.245
0.505,0.71,3,-3.015,1,0.0321,0.19,0.00025,0.269,0.428,89.938
0.365,0.851,4,-6.238,0,0.065,0.0964,0.003,0.238,0.309,78.068
