danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.764,0.426,2,-11.045,1,0.0405,0.629,0.000119,0.132,0.726,131.12,audio_features,2S8xyNRJX1XQdo3qnTuovI,spotify:track:2S8xyNRJX1XQdo3qnTuovI,https://api.spotify.com/v1/tracks/2S8xyNRJX1XQdo3qnTuovI,https://api.spotify.com/v1/audio-analysis/2S8xyNRJX1XQdo3qnTuovI,207920,4
0.626,0.512,1,-9.15,0,0.0247,0.155,4.65e-05,0.215,0.73,92.225,audio_features,0suLngfo7rJoetk7Ub6N8l,spotify:track:0suLngfo7rJoetk7Ub6N8l,https://api.spotify.com/v1/tracks/0suLngfo7rJoetk7Ub6N8l,https://api.spotify.com/v1/audio-analysis/0suLngfo7rJoetk7Ub6N8l,170720,4
0.602,0.736,11,-6.51,0,0.0332,0.149,0.0,0.0776,0.819,94.931,audio_features,3Smida2eCUsLzDcmZqXEZ3,spotify:track:3Smida2eCUsLzDcmZqXEZ3,https://api.spotify.com/v1/tracks/3Smida2eCUsLzDcmZqXEZ3,https://api.spotify.com/v1/audio-analysis/3Smida2eCUsLzDcmZqXEZ3,139240,4
0.66,0.557,1,-9.597,1,0.03,0.158,0.0,0.543,0.788,110.743,audio_features,7zRmGvtSy36Jr19U5OInJT,spotify:track:7zRmGvtSy36Jr19U5OInJT,https://api.spotify.com/v1/tracks/7zRmGvtSy36Jr19U5OInJT,https://api.spotify.com/v1/audio-analysis/7zRmGvtSy36Jr19U5OInJT,158800,4
0.498,0.806,0,-5.284,1,0.0265,0.402,5.74e-06,0.525,0.664,99.396,audio_features,0hqjsgWRfMBf2s8xsvRq1M,spotify:track:0hqjsgWRfMBf2s8xsvRq1M,https://api.spotify.com/v1/tracks/0hqjsgWRfMBf2s8xsvRq1M,https://api.spotify.com/v1/audio-analysis/0hqjsgWRfMBf2s8xsvRq1M,207787,4
0.38,0.988,1,-2.042,1,0.0639,2.64e-05,7.86e-05,0.368,0.769,186.113,audio_features,6nTiIhLmQ3FWhvrGafw2zj,spotify:track:6nTiIhLmQ3FWhvrGafw2zj,https://api.spotify.com/v1/tracks/6nTiIhLmQ3FWhvrGafw2zj,https://api.spotify.com/v1/audio-analysis/6nTiIhLmQ3FWhvrGafw2zj,176346,4
0.546,0.814,7,-5.146,1,0.0314,0.023,0.0,0.0972,0.146,104.98,audio_features,3ZffCQKLFLUvYM59XKLbVm,spotify:track:3ZffCQKLFLUvYM59XKLbVm,https://api.spotify.com/v1/tracks/3ZffCQKLFLUvYM59XKLbVm,https://api.spotify.com/v1/audio-analysis/3ZffCQKLFLUvYM59XKLbVm,285653,4
0.268,0.742,5,-4.939,1,0.0355,0.0518,0.0,0.626,0.416,159.779,audio_features,64yrDBpcdwEdNY9loyEGbX,spotify:track:64yrDBpcdwEdNY9loyEGbX,https://api.spotify.com/v1/tracks/64yrDBpcdwEdNY9loyEGbX,https://api.spotify.com/v1/audio-analysis/64yrDBpcdwEdNY9loyEGbX,321093,4
0.77,0.496,11,-8.45,1,0.0468,0.719,0.0,0.123,0.571,117.331,audio_features,7HTH1ppjkkOe7RLoBDKXYJ,spotify:track:7HTH1ppjkkOe7RLoBDKXYJ,https://api.spotify.com/v1/tracks/7HTH1ppjkkOe7RLoBDKXYJ,https://api.spotify.com/v1/audio-analysis/7HTH1ppjkkOe7RLoBDKXYJ,129293,3
0.583,0.695,9,-5.336,1,0.0423,0.0141,0.0,0.0527,0.224,104.879,audio_features,0g5EKLgdKvNlln7TNqBByK,spotify:track:0g5EKLgdKvNlln7TNqBByK,https://api.spotify.com/v1/tracks/0g5EKLgdKvNlln7TNqBByK,https://api.spotify.com/v1/audio-analysis/0g5EKLgdKvNlln7TNqBByK,220573,4
